,AÇÃO,ANO,LPA,P/VP,DIV_LIQ/EBITDA,DIV_LIQ/EBIT,M_LIQUIDA,ROE,ROA,CAGR_LUCRO_5A,BOA
0,ABEV3,ATUAL,0.86,2.75,-0.54,-0.72,0.176,0.157,0.0991,0.0154,0
1,ABEV3,2021,0.8,2.94,-0.69,-0.91,0.1739,0.1533,0.0914,0.002,0
2,ABEV3,2020,0.72,3.34,-0.66,-0.88,0.1949,0.1542,0.0909,-0.0174,0
3,ABEV3,2019,0.75,4.79,-0.43,-0.55,0.224,0.1922,0.1158,-0.0048,0
4,ABEV3,2018,0.7,4.3,-0.42,-0.53,0.2189,0.1952,0.1168,0.0284,0
5,ABEV3,2017,0.46,7.27,-0.38,-0.47,0.1518,0.158,0.0837,0.0281,0
6,ABEV3,2016,0.8,5.75,-0.13,-0.16,0.2751,0.2799,0.1496,2.1786,0
7,ABEV3,2015,0.79,5.8,-0.47,-0.54,0.2659,0.2571,0.1378,2.4909,0
8,ABEV3,2014,0.77,6.07,-0.43,-0.49,0.3168,0.2858,0.1672,0.0,0
9,ABEV3,2013,0.0,0.0,-0.51,-0.58,0.2725,0.2223,0.1383,0.0,0
10,AGRO3,ATUAL,5.08,1.48,0.0,0.25,0.2711,0.2347,0.1555,0.8028,1
11,AGRO3,2021,5.08,1.2,-0.25,-0.29,0.2711,0.2383,0.1517,0.8028,1
12,AGRO3,2020,5.11,1.38,0.98,1.26,0.2602,0.2832,0.1554,1.0888,1
13,AGRO3,2019,2.1,1.15,0.87,1.2,0.1695,0.1358,0.0881,-0.0794,1
14,AGRO3,2018,3.11,1.01,0.76,0.86,0.3188,0.2343,0.1501,0.0,1
15,AGRO3,2017,2.17,1.05,0.0,0.38,0.329,0.1893,0.143,0.3448,1
16,AGRO3,2016,0.48,0.96,-4.58,367.12,0.1482,0.0397,0.0319,0.0,1
17,AGRO3,2015,0.0,0.0,34.23,8.25,0.0591,0.0106,0.0078,-0.1153,1
18,AGRO3,2014,0.0,0.0,0.07,0.08,0.4827,0.3097,0.2183,0.0,1
19,AGRO3,2013,0.0,0.0,-2.85,-0.62,-0.0878,-0.0228,-0.0173,0.0,1
20,B3SA3,ATUAL,0.73,4.1,-0.36,-0.43,0.4461,0.216,0.0941,0.2527,1
21,B3SA3,2021,0.77,3.05,-0.67,-0.78,0.4585,0.2105,0.0898,0.2667,1
22,B3SA3,2020,2.02,5.16,-1.27,-1.51,0.4452,0.1694,0.0896,0.1352,1
23,B3SA3,2019,1.32,3.49,-1.2,-1.58,0.4594,0.1069,0.0678,0.2267,1
24,B3SA3,2018,1.01,2.21,-0.7,-0.98,0.432,0.0834,0.0554,0.1406,1
25,B3SA3,2017,0.63,1.93,-0.01,-0.01,0.3529,0.0533,0.0345,0.0383,1
26,B3SA3,2016,0.8,1.57,-4.88,-5.32,0.6232,0.0759,0.0464,0.0665,1
27,B3SA3,2015,1.21,1.08,-2.55,-2.52,0.9935,0.1201,0.0837,0.1398,1
28,B3SA3,2014,0.51,0.99,-0.6,-0.55,0.4812,0.0515,0.0383,0.0209,1
29,B3SA3,2013,0.55,1.14,-1.77,-1.71,0.5086,0.0561,0.0418,0.1087,1
30,BBAS3,ATUAL,8.22,0.74,0.0,0.0,0.1247,0.155,0.0115,0.2736,0
31,BBAS3,2021,6.88,0.58,0.0,0.0,0.1566,0.1382,0.0099,0.2292,0
32,BBAS3,2020,4.64,0.95,0.0,0.0,0.1347,0.1063,0.0075,-0.0113,0
33,BBAS3,2019,5.72,1.53,0.0,0.0,0.1332,0.1522,0.0107,0.0671,0
34,BBAS3,2018,4.83,1.45,0.0,0.0,0.115,0.1357,0.0099,0.0578,0
35,BBAS3,2017,3.71,1.04,0.0,0.0,0.0723,0.1092,0.0079,-0.0112,0
36,BBAS3,2016,2.45,1.06,0.0,0.0,0.0399,0.0814,0.0051,-0.1114,0
37,BBAS3,2015,4.91,0.6,0.0,0.0,0.0771,0.1704,0.0101,0.0449,0
38,BBAS3,2014,4.14,0.98,0.0,0.0,0.086,0.1449,0.0093,-0.0249,0
